,kickoff_time,kickoff_time_formatted,name,opponent_name,team_name,opponent_nextweek,predicted,actual
7440,2016-12-31T15:00:00Z,31 Dec 15:00,Michy_Batshuayi,Stoke,Chelsea,Tottenham,0.92611575,1.0
40459,2018-03-31T14:00:00Z,31 Mar 15:00,Lukasz_Fabianski,Man United,Swansea,West Brom,0.03096643,2.0
13500,2016-08-13T14:00:00Z,13 Aug 15:00,Viktor_Fischer,Stoke,Middlesbrough,Sunderland,0.15987638,0.0
35611,2017-10-21T14:00:00Z,21 Oct 15:00,Luka_Milivojevic,Newcastle,Crystal Palace,West Ham,0.11419484,9.0
18595,2016-09-17T14:00:00Z,17 Sep 15:00,Simon_Francis,Man City,Bournemouth,Everton,0.13069847,6.0
13594,2016-12-31T17:30:00Z,31 Dec 17:30,Georginio_Wijnaldum,Man City,Liverpool,Sunderland,0.2799282,2.0
29467,2017-11-26T14:00:00Z,26 Nov 14:00,Damian Emiliano_Martinez,Burnley,Arsenal,Huddersfield,0.13316324,0.0
14038,2016-10-02T13:15:00Z,02 Oct 14:15,Manuel_Agudo Durán,Tottenham,Man City,Everton,1.361698,6.0
19930,2017-04-01T16:30:00Z,01 Apr 17:30,Manolo_Gabbiadini,Bournemouth,Burnley,Crystal Palace,4.2415667,0.0
31300,2017-11-18T15:00:00Z,18 Nov 15:00,Alberto_Moreno,Southampton,Liverpool,Chelsea,0.10828692,2.0
26278,2017-11-18T15:00:00Z,18 Nov 15:00,Sandro_Ramírez,Crystal Palace,Everton,Southampton,0.21407822,0.0
17138,2017-03-08T20:00:00Z,08 Mar 20:00,Charlie_Adam,Man City,Stoke,Chelsea,0.055045903,0.0
12276,2016-11-06T15:00:00Z,06 Nov 15:00,Federico_Fernández,Man United,Swansea,Everton,0.039540917,2.0
41317,2017-11-18T15:00:00Z,18 Nov 15:00,Ahmed El-Sayed_Hegazi,Chelsea,West Brom,Tottenham,0.06891608,2.0
4528,2017-05-01T19:00:00Z,01 May 20:00,Kevin_Stewart,Watford,Liverpool,Southampton,0.17729637,0.0
1755,2017-05-12T18:45:00Z,12 May 19:45,Younes_Kaboul,Everton,Watford,Man City,2.2691712,0.0
11302,2016-11-19T15:00:00Z,19 Nov 15:00,James_Milner,Southampton,Liverpool,Sunderland,0.2725147,9.0
851,2016-12-04T13:30:00Z,04 Dec 13:30,Roberto_Firmino,Bournemouth,Liverpool,West Ham,2.1590357,1.0
41202,2017-11-04T15:00:00Z,04 Nov 15:00,Mikel_Merino,Bournemouth,Newcastle,Man United,7.934347,0.0
13252,2016-12-04T16:00:00Z,04 Dec 16:00,Marcos_Rojo,Everton,Man United,Tottenham,0.04184848,7.0
39295,2017-11-25T15:00:00Z,25 Nov 15:00,Roque_Mesa,Bournemouth,Swansea,Chelsea,0.08176398,2.0
10479,2017-01-21T15:00:00Z,21 Jan 15:00,Reece_Oxford,Middlesbrough,West Ham,Man City,0.20238033,0.0
