first_name,second_name,actual,predicted,element_type,diff
Davinson,SÃ¡nchez,35,35.002342,2,0.00234222412109375
Serge,Aurier,13,13.050228,2,0.050228118896484375
Juan,Foyth,19,18.998144,2,0.0018558502197265625
Paulo,Gazzaniga,10,9.996107,1,0.0038928985595703125
Alfie,Whiteman,0,0.010249257,1,0.01024925708770752
Lucas,Rodrigues Moura da Silva,65,65.08605,3,0.08605194091796875
Andre,Gray,35,35.05401,4,0.05400848388671875
Nathaniel,Chalobah,6,6.00228,3,0.0022802352905273438
Heurelho,Gomes,0,0.021680355,1,0.021680355072021484
Younes,Kaboul,0,0.010249257,2,0.01024925708770752
Craig,Cathcart,41,40.975746,2,0.02425384521484375
Sebastian,PrÃ¶dl,1,1.008977,2,0.008977055549621582
JosÃ©,Holebas,46,46.186596,2,0.18659591674804688
Miguel,Britos,0,0.010599166,2,0.01059916615486145
Christian,Kabasele,14,14.007139,2,0.0071392059326171875
Daryl,Janmaat,20,20.01083,2,0.010829925537109375
Adrian,Mariappa,20,20.016647,2,0.0166473388671875
Francisco,FemenÃ­a Far,30,30.000961,2,0.0009613037109375
Tom,Cleverley,0,-0.003193915,3,0.0031939148902893066
Etienne,Capoue,40,40.47462,3,0.4746208190917969
Abdoulaye,DoucourÃ©,53,52.807068,3,0.19293212890625
Roberto,Pereyra,64,64.577065,3,0.5770645141601562
Will,Hughes,38,37.918823,3,0.0811767578125
Troy,Deeney,36,35.9831,4,0.01689910888671875
Stefano,Okaka,0,0.010249257,4,0.01024925708770752
Jerome,Sinclair,0,0.010249257,4,0.01024925708770752
Richarlison,de Andrade,74,74.152504,3,0.15250396728515625
Marvin,Zeegelaar,0,0.010599166,2,0.01059916615486145
Gerard,Deulofeu,21,20.997976,3,0.0020236968994140625
Daniel,Sturridge,20,20.015154,4,0.015153884887695312
Ben,Foster,43,42.602585,1,0.3974151611328125
Jonny,Evans,29,29.104555,2,0.10455513000488281
SalomÃ³n,RondÃ³n,37,37.15434,4,0.15433883666992188
Marko,Arnautovic,59,58.594357,3,0.4056434631347656
AdriÃ¡n,San Miguel del Castillo,0,0.020661086,1,0.020661085844039917
Winston,Reid,0,0.013917148,2,0.013917148113250732
Aaron,Cresswell,9,9.016437,2,0.01643657684326172
Angelo,Ogbonna,4,3.9898767,2,0.010123252868652344
Sam,Byram,0,0.010249257,2,0.01024925708770752
Arthur,Masuaku,23,23.009481,2,0.009481430053710938
Pablo,Zabaleta,29,29.099613,2,0.09961318969726562
